Adoszam,Cegnev,ir.szam,Szekhely,TEÁOR,Tevekenyseg,e-mail,net_arbevetele,eredmeny,Tulajdonos,Helyseg,Jogallas,Varmegye,Terulet_hektar,Nepesseg,Lakasok_szama,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
23391475-2-08,AUDI HUNGARIA Zrt.,9027,Győr,2910'25,Közúti gépjármű gyártása,ah@audi.hu,3531210732,124621839,AUDI AG,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
13602059-2-07,HANKOOK TIRE Magyarország Kft.,2459,Rácalmás,2211'25,"Gumiabroncs, gumitömlő gyártása",info.hu@hankookn.com,349473000,83785000,Hankook Tire Europe Holdings B.V.,Rácalmás,város,Fejér,4064,4928,1893,,,,,1,,,,,,,,
26375157-2-43,BPart Lucius Kft.,1117,Budapest,6811'25,Saját tulajdonú ingatlan adásvétele,iroda@budapart.hu,16546302,5409733,Kopaszi Gát Zártkörűen Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12517606-4-11,MOL-LUB Kft.,2931,Almásfüzitő,1920'25,"Kőolaj-feldolgozás, fosszilis tüzelőanyag-termékek gyártása",kenoanyag@mol.hu,55034044,2827451,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,Almásfüzitő,község,Komárom-Esztergom,818,2016,1119,,,,,,,,,,,,,
11995340-2-09,Debreceni Vagyonkezelő Zrt.,4025,Debrecen,6811'25,Saját tulajdonú ingatlan adásvétele,vagyonkezelo@dvrt.hu,2519234,2825962,Debrecen Megyei Jogú Város Önkormányzata,Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
11122496-2-08,MÉH ZRT.,9028,Győr,4687'25,Hulladék-nagykereskedelem,kesz.tamas@gyor.net,39009479,2582882,"HORVÁTH R+K IPARI, KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG",Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
11043010-2-04,TAPPE KFT,5600,Békéscsaba,3811'25,Nem veszélyes hulladék gyűjtése,titkarsag@tappe.hu,18185713,2576650,Global Refuse Holding Zártkörűen Működő Részvénytársaság,Békéscsaba,"megyeszékhely, megyei jogú város",Békés,19393,53944,30047,,,,1,1,,1,1,,,1,,1
24106519-2-06,Scrub Daddy Hungary Zrt.,6636,Mártély,2041'25,Tisztítószer gyártása,Info@ScrubDaddy.hu,8623771,2568589,Scrub Daddy Eastern Europe Korlátolt Felelősségű Társaság,Mártély,község,Csongrád-Csanád,3646,1281,575,,,,,,,,,,,,,
10755110-2-44,Sealed Air Magyarország Kft.,2367,Újhartyán,2222'25,Műanyag csomagolóeszköz gyártása,agnes.pyber@sealedair.com,47481312,2567786,Sealed Air Holding France (Société par actions simplifiée),Újhartyán,város,Pest,2245,2914,1158,,,,,1,,,,,,,,
11149422-2-09,KEVIÉP Kft.,4025,Debrecen,4291'25,Vízi létesítmény építése,center@keviep.hu,11295213,2564699,"KEVIÉP INVEST Befektetési Tanácsadó és Kerekedelmi Korlátolt Felelősségű Társaság,Gulyás Sándor,Szrnka György József,Németh László,Menkó András,Szabó László,Urbán Pap Jánosné,Paál Árpád,Vékony Tibor,Miklóssy Ferenc,Szabó Gézáné,Kósa Róbert,Dr. Kovács Andrea Katalin,Beke Zsolt Sándor,Jávorszki Jánosné,Nemes Norbert,Bozóky-Solczi Nikolett,Bodnár Zsolt,Czirják Sándorné,Lakatos János,Kósáné Tóth Aranka,Tóth Judit,Szalánczy József,Bodnár Nóra",Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
11126191-2-08,FLIEGL ABDA Kft.,9151,Abda,2830'25,"Mezőgazdasági, erdészeti gép gyártása",zsuzsanna.pentekne@fliegl.hu,16882315,2423944,Josef Fliegl,Abda,község,Győr-Moson-Sopron,1902,3155,1226,,,,,,,,,,,,,
11323240-2-19,BASALT-KÖZÉPKŐ Kft.,8321,Uzsa,0811'25,"Díszkő, mészkő, gipsz, pala és egyéb kő bányászata",basalt@basalt.hu,7255096,2415869,"Basalt Minerals GmbH,Bau Holding Beteiligungs GmbH",Uzsa,község,Veszprém,1149,298,151,,,,,,,,,,,,,
